case_id,account_id,order_id,issue_type,severity,severity_score,opened_date,issue_age_days,sla_target_date,last_update_date,expected_resolution_date,current_owner,issue_status,resolution_confidence,root_cause,customer_impact,open_dependency
CASE-7201,A-1001,ORD-73101,Delivery Underpacing,High,4,2026-06-20,25,2026-07-08,2026-07-13,2026-07-16,Ad Ops - Lena Ortiz,Waiting on Ad Ops,Medium,Inventory pacing lag,Renewal confidence and delivery promise,Traffic pacing confirmation
CASE-7202,A-1001,ORD-73101,Reporting Discrepancy,Medium,3,2026-07-02,13,2026-07-12,2026-07-13,2026-07-17,Reporting - Eli Park,Open,Medium,UTM match mismatch,Trust in delivery report,Reach report reconciliation
CASE-7203,A-1002,ORD-73102,Reporting Discrepancy,High,4,2026-06-28,17,2026-07-09,2026-07-13,2026-07-17,Reporting - Eli Park,Open,High,Audience reach export defect,Renewal proof stalled,Corrected report
CASE-7204,A-1003,ORD-73103,Billing Error,High,4,2026-06-18,27,2026-07-05,2026-07-12,2026-07-16,Billing - Nora Vale,Resolved Pending Customer,High,Duplicate invoice line,Signature withheld pending credit,Credit memo confirmation
CASE-7205,A-1003,ORD-73103,Renewal Rate Objection,Medium,3,2026-07-08,7,2026-07-18,2026-07-14,2026-07-19,Sales Ops - Aaron Kim,Waiting on Sales,High,Rate card update not explained,Commercial approval delay,Rate hold language
CASE-7206,A-1004,ORD-73104,Creative Trafficking,Medium,3,2026-07-01,14,2026-07-11,2026-07-13,2026-07-16,Ad Ops - Lena Ortiz,Waiting on Ad Ops,High,Creative tags rejected,Launch dates unclear,Creative retagging
CASE-7207,A-1005,ORD-73105,Audience Mismatch,Critical,5,2026-06-14,31,2026-07-02,2026-07-13,2026-07-18,Product Support - Ravi Mehta,Open,Medium,Lookalike seed list mismatch,Audience quality dispute,Audience rebuild proof
CASE-7208,A-1005,ORD-73105,Delivery Underpacing,High,4,2026-06-30,15,2026-07-10,2026-07-13,2026-07-18,Ad Ops - Lena Ortiz,Waiting on Ad Ops,Medium,Audience cap after mismatch,Forecast risk,Pacing reset
CASE-7209,A-1006,ORD-73106,Billing Error,Medium,3,2026-07-05,10,2026-07-15,2026-07-13,2026-07-17,Billing - Nora Vale,Open,High,Tax line miscoded,Owner approval delayed,Credit memo draft
CASE-7210,A-1007,ORD-73107,Delivery Underpacing,High,4,2026-06-22,23,2026-07-08,2026-07-13,2026-07-17,Ad Ops - Lena Ortiz,Waiting on Ad Ops,Medium,Publisher inventory drop,Written remedy requested,Makegood placement
CASE-7211,A-1008,ORD-73108,Reporting Discrepancy,Medium,3,2026-07-06,9,2026-07-16,2026-07-13,2026-07-20,Reporting - Eli Park,Open,High,District reach grouping error,Budget meeting proof,Corrected district report
CASE-7212,A-1009,ORD-73109,Creative Trafficking,High,4,2026-06-25,20,2026-07-07,2026-07-13,2026-07-16,Ad Ops - Lena Ortiz,Waiting on Ad Ops,Medium,Brand safety tag review,August flight risk,Creative approval proof
CASE-7213,A-1010,ORD-73110,Renewal Rate Objection,Low,2,2026-07-10,5,2026-07-22,2026-07-14,2026-07-21,Sales Ops - Aaron Kim,Waiting on Sales,High,CPM comparison missing,Rate hold question,Rate hold note
CASE-7214,A-1011,ORD-73111,Reporting Discrepancy,High,4,2026-06-27,18,2026-07-08,2026-07-13,2026-07-18,Reporting - Eli Park,Open,Medium,Lift model file mismatch,Procurement approval blocked,Corrected lift model
CASE-7215,A-1012,ORD-73112,Delivery Underpacing,Critical,5,2026-06-16,29,2026-07-03,2026-07-13,2026-07-17,Ad Ops - Lena Ortiz,Waiting on Ad Ops,Medium,Premium placement shortfall,Renewal at risk,Makegood placement
CASE-7216,A-1012,ORD-73112,Billing Error,Medium,3,2026-07-04,11,2026-07-15,2026-07-13,2026-07-18,Billing - Nora Vale,Open,High,Invoice PO mismatch,Finance approval pending,Invoice correction
CASE-7217,A-1013,ORD-73113,Delivery Underpacing,Medium,3,2026-07-03,12,2026-07-16,2026-07-13,2026-07-20,Ad Ops - Lena Ortiz,Open,Medium,Pacing drift,Needs decision maker route,Pacing check
CASE-7218,A-1014,ORD-73114,Billing Error,Critical,5,2026-06-12,33,2026-06-28,2026-07-13,2026-07-19,Billing - Nora Vale,Resolved Pending Customer,High,Verified duplicate billing,Over-limit credit request,Manager approval
CASE-7219,A-1015,ORD-73115,Product Feed Blocker,High,4,2026-06-24,21,2026-07-09,2026-07-13,2026-07-22,Product Support - Ravi Mehta,Waiting on Ad Ops,Low,Merchant feed mismatch,Cannot confirm swap,Feed fix proof
CASE-7220,A-1016,ORD-73116,Billing Error,Low,2,2026-06-29,16,2026-07-09,2026-07-11,2026-07-11,Billing - Nora Vale,Closed,High,Small credit issued,Resolved,Closure note
CASE-7221,A-1017,ORD-73117,Data-Use Terms,Critical,5,2026-06-10,35,2026-06-28,2026-07-14,2026-07-24,Legal - Sasha Reed,Open,Low,Contract data-use change,Outside sales-desk authority,Legal review
CASE-7222,A-1017,ORD-73117,Reporting Discrepancy,High,4,2026-06-21,24,2026-07-07,2026-07-13,2026-07-23,Reporting - Eli Park,Open,Medium,Clinical segment grouping,Executive concern,Segment report
CASE-7223,A-1018,ORD-73118,Agency Consolidation,Low,2,2026-07-09,6,2026-07-24,2026-07-14,2026-09-02,Sales Ops - Aaron Kim,Waiting on Customer,High,Agency buying team reorg,Customer requested hold,September rebrief
