activity_id,account_id,owner_rep,activity_type,activity_date,customer_request,internal_commitment,commitment_due_date,commitment_status,confirmation_source,customer_sentiment,requested_decision_date,next_step,related_case_id,note
ACT-26001A,A-1001,Maya Chen,Customer call,2026-07-03,CMO asked for delivery plan before renewal call.,Open case review with operational owner,2026-07-07,Completed,CRM call note,Concerned,2026-07-24,Prepare recovery evidence,CASE-7201,Initial escalation intake
ACT-26001B,A-1001,Maya Chen,Email,2026-07-12,CMO asked for delivery plan before renewal call.,Send corrected pacing plan,2026-07-14,Overdue,Gmail thread,Escalated,2026-07-24,Confirm makegood inventory and delivery recovery plan,CASE-7201,Commitment carried into recovery review
ACT-26002A,A-1002,Jordan Patel,Customer call,2026-07-01,Marketing director requested corrected reach report.,Open case review with operational owner,2026-07-05,Completed,CRM call note,Concerned,2026-07-31,Prepare recovery evidence,CASE-7203,Initial escalation intake
ACT-26002B,A-1002,Jordan Patel,Email,2026-07-10,Marketing director requested corrected reach report.,Provide reconciled reach report,2026-07-17,Open,Gmail thread,Concerned,2026-07-31,Deliver reconciled reporting package and executive summary,CASE-7203,Commitment carried into recovery review
ACT-26003A,A-1003,Priya Nair,Customer call,2026-07-02,Demand gen VP asked for invoice correction before signing.,Open case review with operational owner,2026-07-06,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7204,Initial escalation intake
ACT-26003B,A-1003,Priya Nair,Email,2026-07-11,Demand gen VP asked for invoice correction before signing.,Confirm billing investigation opened,2026-07-12,Completed,Gmail thread,Concerned,2026-08-05,Confirm verified billing credit and renewal rate hold,CASE-7204,Commitment carried into recovery review
ACT-26004A,A-1004,Luis Romero,Customer call,2026-06-30,Retail media lead requested trafficking fix and revised launch dates.,Open case review with operational owner,2026-07-04,Completed,CRM call note,Cautious,2026-07-28,Prepare recovery evidence,CASE-7206,Initial escalation intake
ACT-26004B,A-1004,Luis Romero,Email,2026-07-09,Retail media lead requested trafficking fix and revised launch dates.,Send creative retagging ETA,2026-07-12,Overdue,Gmail thread,Concerned,2026-07-28,Offer equivalent package swap after trafficking confirmation,CASE-7206,Commitment carried into recovery review
ACT-26005A,A-1005,Devon Brooks,Customer call,2026-06-29,VP Marketing requested audience correction plan before PO.,Open case review with operational owner,2026-07-03,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7207,Initial escalation intake
ACT-26005B,A-1005,Devon Brooks,Email,2026-07-08,VP Marketing requested audience correction plan before PO.,Share audience rebuild proof,2026-07-11,Missed,No confirmation,Escalated,2026-08-05,Swap misaligned audience package and reset delivery proof,CASE-7207,Commitment carried into recovery review
ACT-26006A,A-1006,Maya Chen,Customer call,2026-07-04,Owner asked for invoice correction before approving fall campaign.,Open case review with operational owner,2026-07-08,Completed,CRM call note,Cautious,2026-07-26,Prepare recovery evidence,CASE-7209,Initial escalation intake
ACT-26006B,A-1006,Maya Chen,Email,2026-07-13,Owner asked for invoice correction before approving fall campaign.,Send credit memo note,2026-07-17,Open,Gmail thread,Concerned,2026-07-26,Confirm verified invoice credit and corrected bill date,CASE-7209,Commitment carried into recovery review
ACT-26007A,A-1007,Jordan Patel,Customer call,2026-07-01,Media director requested written underdelivery remedy.,Open case review with operational owner,2026-07-05,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7210,Initial escalation intake
ACT-26007B,A-1007,Jordan Patel,Email,2026-07-10,Media director requested written underdelivery remedy.,Provide underdelivery remedy,2026-07-14,Overdue,Gmail thread,Concerned,2026-08-03,Confirm makegood placement and revised delivery dates,CASE-7210,Commitment carried into recovery review
ACT-26008A,A-1008,Priya Nair,Customer call,2026-07-03,Enrollment team requested corrected district reach report.,Open case review with operational owner,2026-07-07,Completed,CRM call note,Cautious,2026-08-01,Prepare recovery evidence,CASE-7211,Initial escalation intake
ACT-26008B,A-1008,Priya Nair,Email,2026-07-12,Enrollment team requested corrected district reach report.,Share district reach report,2026-07-20,Open,Gmail thread,Concerned,2026-08-05,Send reconciled district reach report and renewal summary,CASE-7211,Commitment carried into recovery review
ACT-26009A,A-1009,Luis Romero,Customer call,2026-06-30,Brand director requested launch-risk plan for August flight.,Open case review with operational owner,2026-07-04,Completed,CRM call note,Concerned,2026-07-29,Prepare recovery evidence,CASE-7212,Initial escalation intake
ACT-26009B,A-1009,Luis Romero,Email,2026-07-09,Brand director requested launch-risk plan for August flight.,Send brand safety approval path,2026-07-13,Overdue,Gmail thread,Concerned,2026-07-29,Confirm package swap and creative approval timeline,CASE-7212,Commitment carried into recovery review
ACT-26010A,A-1010,Devon Brooks,Customer call,2026-07-05,Managing partner asked whether Q2 CPM can be held.,Open case review with operational owner,2026-07-09,Completed,CRM call note,Cautious,2026-08-01,Prepare recovery evidence,CASE-7213,Initial escalation intake
ACT-26010B,A-1010,Devon Brooks,Email,2026-07-14,Managing partner asked whether Q2 CPM can be held.,Confirm 60-day rate hold,2026-07-21,Open,Gmail thread,Concerned,2026-08-05,Offer 60-day rate hold without additional credit,CASE-7213,Commitment carried into recovery review
ACT-26011A,A-1011,Maya Chen,Customer call,2026-07-01,Campaign manager asked for corrected lift summary.,Open case review with operational owner,2026-07-05,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7214,Initial escalation intake
ACT-26011B,A-1011,Maya Chen,Email,2026-07-10,Campaign manager asked for corrected lift summary.,Send corrected lift summary,2026-07-18,Open,Gmail thread,Concerned,2026-08-05,Send corrected lift summary and renewal confidence note,CASE-7214,Commitment carried into recovery review
ACT-26012A,A-1012,Jordan Patel,Customer call,2026-06-29,Digital director requested delivery remedy and invoice note.,Open case review with operational owner,2026-07-03,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7215,Initial escalation intake
ACT-26012B,A-1012,Jordan Patel,Email,2026-07-08,Digital director requested delivery remedy and invoice note.,Send makegood and PO correction note,2026-07-12,Missed,No confirmation,Escalated,2026-08-01,Confirm makegood placement and invoice correction route,CASE-7215,Commitment carried into recovery review
ACT-26013A,A-1013,Priya Nair,Customer call,2026-07-02,"Regional marketer wants executive renewal call, but permission is pending.",Open case review with operational owner,2026-07-06,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7217,Initial escalation intake
ACT-26013B,A-1013,Priya Nair,Email,2026-07-11,"Regional marketer wants executive renewal call, but permission is pending.",Request permission to contact decision maker,2026-07-18,Open,Gmail thread,Escalated,2026-08-05,Hold customer-facing offer until decision-maker route is approved,CASE-7217,Commitment carried into recovery review
ACT-26014A,A-1014,Luis Romero,Customer call,2026-07-01,"Finance VP requested $42,000 credit tied to verified invoice dispute.",Open case review with operational owner,2026-07-05,Completed,CRM call note,Concerned,2026-07-30,Prepare recovery evidence,CASE-7218,Initial escalation intake
ACT-26014B,A-1014,Luis Romero,Email,2026-07-10,"Finance VP requested $42,000 credit tied to verified invoice dispute.",Escalate over-limit credit request,2026-07-16,Open,Gmail thread,Escalated,2026-07-30,Route credit request to manager; do not promise local credit,CASE-7218,Commitment carried into recovery review
ACT-26015A,A-1015,Devon Brooks,Customer call,2026-06-28,Ecommerce lead asked for feed proof before package swap.,Open case review with operational owner,2026-07-02,Completed,CRM call note,Concerned,2026-08-01,Prepare recovery evidence,CASE-7219,Initial escalation intake
ACT-26015B,A-1015,Devon Brooks,Email,2026-07-07,Ecommerce lead asked for feed proof before package swap.,Get feed proof from product support,2026-07-12,Overdue,Gmail thread,Escalated,2026-08-05,Wait for product feed fix before customer offer,CASE-7219,Commitment carried into recovery review
